,cell.line,source,branch_col,subtype,Wooten_phen,prior_phen,phenotype,nphenotype
c.COLO668,COLO668,CCLE,red,A2,NEv2,A2,A2,A2
c.CORL24,CORL24,CCLE,darkgreen,N,NEv1,A1,N,N
c.CORL279,CORL279,CCLE,darkgreen,N,NE,A1,N,N
c.CORL311,CORL311,CCLE,black,P,NEv1,P,P,P
c.CORL47,CORL47,CCLE,blue,A,NE,A3,A,A
c.CORL88,CORL88,CCLE,red,A2,NEv2,A2,A2,A2
c.CORL95,CORL95,CCLE,red,A2,NEv2,A2,A2,A2
c.DMS114,DMS114,CCLE,orange,Y,nonNE,Y,Y,Y
c.DMS153,DMS153,CCLE,red,A2,NEv2,A2,A2,A2
c.DMS273,DMS273,CCLE,darkgreen,N,NEv1,N,N,N
c.DMS454,DMS454,CCLE,blue,A,NEv2,A3,A,A
c.DMS53,DMS53,CCLE,red,A2,NEv2,A2,A2,A2
c.DMS79,DMS79,CCLE,red,A2,NE,A3,A2,A2
c.HCC33,HCC33,CCLE,darkgreen,N,NE,A1,N,N
c.NCIH1048,NCIH1048,CCLE,black,P,nonNE,P,P,P
c.NCIH1092,NCIH1092,CCLE,blue,A,NE,A3,A,A
c.NCIH1105,NCIH1105,CCLE,red,A2,NE,A2,A2,A2
c.NCIH1184,NCIH1184,CCLE,blue,A,NE,A3,A,A
c.NCIH1339,NCIH1339,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH1341,NCIH1341,CCLE,black,P,nonNE,P,P,P
c.NCIH1436,NCIH1436,CCLE,red,A2,NE,A2,A2,A2
c.NCIH146,NCIH146,CCLE,blue,A,NE,A3,A,A
c.NCIH1618,NCIH1618,CCLE,red,A2,NE,A1,A2,A2
c.NCIH1694,NCIH1694,CCLE,darkgreen,N,NEv1,N,N,N
c.NCIH1836,NCIH1836,CCLE,red,A2,NE,A1,A2,A2
c.NCIH1876,NCIH1876,CCLE,red,A2,NE,A1,A2,A2
c.NCIH1930,NCIH1930,CCLE,blue,A,NE,A3,A,A
c.NCIH196,NCIH196,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH1963,NCIH1963,CCLE,blue,A,NE,A3,A,A
c.NCIH2029,NCIH2029,CCLE,red,A2,NEv2,A2,A2,A2
c.NCIH2066,NCIH2066,CCLE,blue,A,nonNE,A3,A,A
c.NCIH2081,NCIH2081,CCLE,blue,A,NE,A3,A,A
c.NCIH209,NCIH209,CCLE,red,A2,NE,A2,A2,A2
c.NCIH211,NCIH211,CCLE,black,P,nonNE,P,P,P
c.NCIH2171,NCIH2171,CCLE,darkgreen,N,NEv1,A1,N,N
c.NCIH2196,NCIH2196,CCLE,red,A2,NEv2,A2,A2,A2
c.NCIH2227,NCIH2227,CCLE,blue,A,NEv1,A3,A,A
c.NCIH2286,NCIH2286,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH446,NCIH446,CCLE,darkgreen,N,NEv1,N,N,N
c.NCIH510,NCIH510,CCLE,red,A2,NEv2,A2,A2,A2
c.NCIH524,NCIH524,CCLE,darkgreen,N,NEv1,N,N,N
c.NCIH526,NCIH526,CCLE,black,P,NEv1,P,P,P
c.NCIH69,NCIH69,CCLE,blue,A,NE,A3,A,A
c.NCIH82,NCIH82,CCLE,darkgreen,N,NEv1,Y,N,N
c.NCIH841,NCIH841,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH889,NCIH889,CCLE,blue,A,NE,A3,A,A
c.SBC5,SBC5,CCLE,orange,Y,nonNE,Y,Y,Y
c.SCLC21H,SCLC21H,CCLE,darkgreen,N,NEv1,A1,N,N
c.SHP77,SHP77,CCLE,red,A2,NEv2,A2,A2,A2
c.SW1271,SW1271,CCLE,orange,Y,nonNE,Y,Y,Y
m.DMS153,DMS153,Minna,red,A2,NEv2,A2,A2,A2
m.HCC2433,HCC2433,Minna,darkgreen,N,NA,N,N,N
m.HCC33,HCC33,Minna,darkgreen,N,NE,A1,N,N
m.HCC4000,HCC4000,Minna,blue,A,NA,A3,A,A
m.HCC4001,HCC4001,Minna,darkgreen,N,NA,N,N,N
m.HCC4002,HCC4002,Minna,darkgreen,N,NA,A1,N,N
m.HCC4003,HCC4003,Minna,red,A2,NA,A1,A2,A2
m.HCC4004,HCC4004,Minna,darkgreen,N,NA,A1,N,N
m.HCC4005,HCC4005,Minna,darkgreen,N,NA,A1,N,N
m.HCC970,HCC970,Minna,darkgreen,N,NA,N,N,N
m.NCIH1048,NCIH1048,Minna,black,P,nonNE,P,P,P
m.NCIH1092,NCIH1092,Minna,blue,A,NE,A3,A,A
m.NCIH1184,NCIH1184,Minna,blue,A,NE,A3,A,A
m.NCIH1238,NCIH1238,Minna,red,A2,NA,A2,A2,A2
m.NCIH128,NCIH128,Minna,blue,A,NA,A3,A,A
m.NCIH1339,NCIH1339,Minna,red,A2,nonNE,A2,A2,A2
m.NCIH1417,NCIH1417,Minna,red,A2,NA,A2,A2,A2
m.NCIH1436,NCIH1436,Minna,red,A2,NE,A2,A2,A2
m.NCIH1450,NCIH1450,Minna,black,P,NA,P,P,P
m.NCIH146,NCIH146,Minna,blue,A,NE,A3,A,A
m.NCIH1514,NCIH1514,Minna,blue,A,NA,A3,A,A
m.NCIH1522,NCIH1522,Minna,blue,A,NA,A3,A,A
m.NCIH1607,NCIH1607,Minna,black,P,NA,P,P,P
m.NCIH1628,NCIH1628,Minna,red,A2,NA,A1,A2,A2
m.NCIH1672,NCIH1672,Minna,red,A2,NA,A1,A2,A2
m.NCIH1688,NCIH1688,Minna,red,A2,NA,A2,A2,A2
m.NCIH1694,NCIH1694,Minna,darkgreen,N,NEv1,N,N,N
m.NCIH1836,NCIH1836,Minna,red,A2,NE,A1,A2,A2
m.NCIH187,NCIH187,Minna,red,A2,NA,A2,A2,A2
m.NCIH1870,NCIH1870,Minna,red,A2,NA,A1,A2,A2
m.NCIH1876,NCIH1876,Minna,red,A2,NE,A2,A2,A2
m.NCIH1882,NCIH1882,Minna,red,A2,NA,A2,A2,A2
m.NCIH1926,NCIH1926,Minna,blue,A,NA,A3,A,A
m.NCIH1930,NCIH1930,Minna,blue,A,NE,A3,A,A
m.NCIH1963,NCIH1963,Minna,blue,A,NE,A3,A,A
m.NCIH1994,NCIH1994,Minna,red,A2,NA,A2,A2,A2
m.NCIH2029,NCIH2029,Minna,red,A2,NEv2,A2,A2,A2
m.NCIH2081,NCIH2081,Minna,blue,A,NE,A3,A,A
m.NCIH209,NCIH209,Minna,red,A2,NE,A2,A2,A2
m.NCIH2107,NCIH2107,Minna,blue,A,NA,A3,A,A
m.NCIH2108,NCIH2108,Minna,blue,A,NA,A3,A,A
m.NCIH211,NCIH211,Minna,black,P,nonNE,P,P,P
m.NCIH2141,NCIH2141,Minna,red,A2,NA,A2,A2,A2
m.NCIH2171,NCIH2171,Minna,darkgreen,N,NEv1,A1,N,N
m.NCIH2195,NCIH2195,Minna,red,A2,NA,A2,A2,A2
m.NCIH2196,NCIH2196,Minna,red,A2,NEv2,A2,A2,A2
m.NCIH2198,NCIH2198,Minna,red,A2,NA,A2,A2,A2
m.NCIH2227,NCIH2227,Minna,blue,A,NEv1,A3,A,A
m.NCIH250,NCIH250,Minna,red,A2,NA,A2,A2,A2
m.NCIH2679,NCIH2679,Minna,black,P,NA,P,P,P
m.NCIH3282,NCIH3282,Minna,red,A2,NA,A3,A2,A2
m.NCIH345,NCIH345,Minna,red,A2,NA,A3,A2,A2
m.NCIH378,NCIH378,Minna,blue,A,NA,A1,A,A
m.NCIH446,NCIH446,Minna,darkgreen,N,NEv1,N,N,N
m.NCIH510,NCIH510,Minna,red,A2,NEv2,A2,A2,A2
m.NCIH524,NCIH524,Minna,darkgreen,N,NEv1,N,N,N
m.NCIH526,NCIH526,Minna,black,P,NEv1,P,P,P
m.NCIH60,NCIH60,Minna,darkgreen,N,NA,N,N,N
m.NCIH69,NCIH69,Minna,blue,A,NE,A1,A,A
m.NCIH711,NCIH711,Minna,blue,A,NA,A3,A,A
m.NCIH735,NCIH735,Minna,red,A2,NA,A2,A2,A2
m.NCIH738,NCIH738,Minna,blue,A,NA,A3,A,A
m.NCIH740,NCIH740,Minna,red,A2,NA,A1,A2,A2
m.NCIH748,NCIH748,Minna,blue,A,NA,A3,A,A
m.NCIH774,NCIH774,Minna,red,A2,NA,A2,A2,A2
m.NCIH82,NCIH82,Minna,darkgreen,N,NEv1,Y,N,N
m.NCIH841,NCIH841,Minna,orange,Y,nonNE,Y,Y,Y
m.NCIH865,NCIH865,Minna,red,A2,NA,A2,A2,A2
m.NCIH889,NCIH889,Minna,blue,A,NE,A1,A,A
m.SHP77,SHP77,Minna,red,A2,NEv2,A2,A2,A2